,Cycle,SensorMeasure2,SensorMeasure3,SensorMeasure4,SensorMeasure7,SensorMeasure8,SensorMeasure11,SensorMeasure12,SensorMeasure13,SensorMeasure15,SensorMeasure17,SensorMeasure20,SensorMeasure21,labels
32,33,549.46,1344.46,1107.09,138.15,2211.92,41.54,129.47,2388.03,9.378,329,10.51,6.4359,0
33,34,536.17,1247.77,1041.29,174.79,1915.24,36.25,163.59,2028.12,10.8788,304,14.32,8.4118,0
34,35,606.91,1475.12,1227.18,331.98,2323.62,43.83,312.2,2387.77,9.1994,361,24.29,14.6604,0
35,36,548.82,1350.2,1110.07,138.81,2211.89,41.36,129.65,2388.0,9.3686,330,10.68,6.4192,0
36,37,549.36,1347.65,1107.73,137.81,2211.88,41.52,129.52,2387.96,9.4132,329,10.68,6.2922,0
37,38,536.54,1250.68,1038.68,174.29,1915.24,36.18,163.96,2028.08,10.8882,306,14.13,8.4454,0
38,39,554.85,1356.08,1114.16,192.64,2222.75,41.52,181.51,2387.8,9.3178,332,14.77,8.8694,0
39,40,555.43,1353.08,1113.51,193.13,2222.74,41.38,181.53,2387.82,9.3181,331,14.74,8.8526,0
40,41,535.76,1256.25,1034.03,174.6,1915.25,36.26,163.7,2028.16,10.8941,306,14.27,8.4687,0
41,42,536.39,1253.03,1040.8,174.75,1915.27,36.29,162.98,2028.11,10.8594,307,14.27,8.5025,0
42,43,642.2,1577.15,1398.82,550.85,2387.54,47.1,519.23,2387.49,8.4611,389,38.85,23.1927,0
43,44,548.9,1334.63,1104.81,137.34,2211.93,41.63,129.44,2387.92,9.4014,328,10.6,6.3796,0
44,45,536.13,1258.81,1039.99,174.31,1915.18,36.32,163.41,2028.1,10.8531,305,14.22,8.5085,0
45,46,606.62,1472.58,1233.24,332.75,2323.66,43.63,312.51,2387.78,9.238,364,24.51,14.6111,0
46,47,548.41,1341.26,1116.56,137.6,2211.84,41.65,129.2,2387.97,9.3913,328,10.47,6.3731,0
47,48,606.98,1467.76,1233.48,332.98,2323.71,44.22,313.29,2387.79,9.2061,363,24.56,14.5214,0
48,49,549.01,1342.83,1102.72,137.97,2211.92,41.66,129.54,2387.96,9.3325,329,10.71,6.3426,0
49,50,642.02,1576.87,1400.86,551.79,2387.35,47.14,519.09,2387.42,8.4244,392,38.75,23.4425,0
50,51,604.28,1493.92,1289.27,393.13,2318.67,44.91,370.35,2387.81,8.6035,368,28.49,17.0687,0
51,52,536.26,1248.2,1035.68,174.91,1915.25,36.27,163.58,2028.14,10.8788,305,14.14,8.5928,0
52,53,536.4,1263.05,1032.95,174.47,1915.17,36.34,163.48,2028.08,10.899,304,14.19,8.5467,0
53,54,549.22,1339.16,1106.27,137.24,2211.86,41.69,129.32,2387.92,9.387,327,10.56,6.2868,0
54,55,603.72,1494.29,1294.67,393.08,2318.63,44.99,369.1,2387.84,8.6432,366,28.7,17.1935,0
55,56,548.76,1341.03,1110.68,137.86,2211.9,41.57,129.36,2387.97,9.3822,329,10.46,6.2885,0
56,57,549.02,1339.89,1114.43,137.32,2211.89,41.53,129.42,2387.89,9.3462,329,10.72,6.5121,0
57,58,642.25,1582.52,1404.36,551.28,2387.36,47.21,518.43,2387.25,8.4028,389,38.85,23.1362,0
58,59,604.83,1492.98,1295.8,393.25,2318.65,44.98,369.57,2387.86,8.6463,366,28.54,17.1541,0
59,60,554.61,1357.88,1111.38,193.39,2222.77,41.22,181.89,2387.81,9.3302,330,14.87,8.9084,0
60,61,606.65,1473.73,1241.37,332.92,2323.7,43.93,313.27,2387.82,9.2019,361,24.32,14.6149,0
61,62,548.89,1348.87,1119.63,136.92,2211.94,41.41,129.54,2387.99,9.3781,329,10.54,6.3596,0
62,63,603.7,1487.83,1286.86,392.2,2318.65,44.95,370.09,2387.82,8.6431,366,28.53,17.0904,0
63,64,641.64,1578.45,1395.93,550.79,2387.62,47.15,518.61,2387.58,8.4739,390,38.86,23.2174,0
64,65,555.17,1358.11,1116.16,192.68,2222.8,41.62,181.66,2387.81,9.3108,331,14.93,8.9692,0
65,66,606.41,1477.48,1231.66,332.54,2323.63,43.99,312.92,2387.83,9.1887,362,24.34,14.5693,0
66,67,606.31,1474.62,1241.38,332.62,2323.66,43.82,313.49,2387.73,9.1822,363,24.56,14.6457,0
67,68,548.77,1341.9,1115.21,137.56,2211.85,41.53,129.3,2387.96,9.3612,328,10.55,6.3811,0
68,69,536.11,1257.49,1040.93,173.94,1915.2,36.36,163.21,2028.08,10.8777,305,14.15,8.4855,0
69,70,555.38,1355.21,1116.94,193.37,2222.74,41.5,181.55,2387.8,9.2859,331,14.69,8.9492,0
70,71,603.58,1495.02,1292.46,392.8,2318.65,45.03,370.38,2387.86,8.6353,368,28.68,17.1591,0
71,72,536.34,1251.01,1037.6,174.71,1915.24,36.42,163.57,2028.11,10.8835,305,14.18,8.5544,0
72,73,642.35,1569.18,1395.69,550.84,2387.67,47.09,519.32,2387.6,8.4232,388,38.94,23.2487,0
73,74,603.57,1489.48,1294.26,393.35,2318.72,45.13,369.92,2387.87,8.6666,369,28.6,17.0896,0
74,75,606.68,1472.62,1236.91,331.77,2323.6,43.85,312.35,2387.75,9.1618,363,24.35,14.5425,0
75,76,606.76,1474.43,1236.66,331.68,2323.68,43.86,312.6,2387.84,9.1996,362,24.28,14.6061,0
76,77,548.85,1334.66,1119.25,137.4,2211.92,41.75,129.47,2388.03,9.3417,327,10.54,6.4126,0
77,78,604.38,1489.98,1297.3,393.19,2318.69,45.1,370.3,2387.84,8.6432,368,28.56,17.0978,0
78,79,604.07,1489.91,1292.59,392.73,2318.69,44.94,369.77,2387.89,8.633,366,28.47,17.2433,0
79,80,548.9,1343.46,1110.38,137.33,2211.96,41.73,129.65,2388.02,9.351,328,10.67,6.3489,0
80,81,606.46,1480.25,1233.51,331.62,2323.66,44.0,312.85,2387.75,9.2234,362,24.46,14.5874,0
81,82,548.95,1346.06,1109.6,136.57,2211.92,41.63,128.9,2387.96,9.3643,328,10.5,6.4309,0
82,83,607.11,1473.21,1233.87,333.04,2323.72,44.01,312.99,2387.77,9.21,363,24.32,14.6531,0
83,84,537.05,1254.67,1038.34,173.98,1915.24,36.51,162.92,2028.11,10.9032,306,14.16,8.59,0
84,85,604.02,1493.33,1302.11,392.85,2318.64,44.97,369.82,2387.83,8.6439,366,28.53,17.1557,0
85,86,603.27,1487.99,1295.88,393.09,2318.63,44.91,370.32,2387.86,8.5927,366,28.79,17.1918,0
86,87,536.08,1259.11,1035.67,174.42,1915.22,36.43,163.23,2028.15,10.9106,303,14.14,8.5143,0
87,88,549.45,1341.61,1112.38,137.16,2211.97,41.64,128.79,2387.95,9.3745,329,10.56,6.3324,0
88,89,607.15,1478.59,1231.93,331.81,2323.61,44.12,312.85,2387.73,9.2078,362,24.6,14.5764,0
89,90,606.44,1472.87,1239.09,332.54,2323.67,43.9,312.9,2387.78,9.1976,363,24.47,14.7561,0
90,91,604.15,1489.35,1296.59,392.69,2318.66,45.05,369.69,2387.84,8.6355,367,28.6,17.1707,0
91,92,607.06,1475.5,1241.35,332.8,2323.69,43.98,312.33,2387.79,9.2024,362,24.34,14.5655,0
92,93,607.31,1477.94,1234.41,332.04,2323.67,44.0,312.23,2387.76,9.1893,363,24.39,14.572,0
93,94,604.17,1494.19,1292.53,393.2,2318.63,44.98,370.0,2387.81,8.6193,367,28.49,17.1873,0
94,95,549.03,1338.41,1115.45,137.26,2211.9,41.73,129.54,2388.01,9.3759,328,10.7,6.3274,0
95,96,555.03,1355.75,1119.68,193.02,2222.8,41.59,181.78,2387.85,9.2824,332,14.79,8.9197,0
96,97,641.78,1578.75,1395.54,552.9,2387.94,46.98,520.24,2387.92,8.3829,393,38.82,23.4259,0
97,98,555.14,1359.58,1112.19,193.09,2222.72,41.41,181.51,2387.84,9.3161,330,14.95,8.9318,0
98,99,604.59,1490.74,1294.83,393.58,2318.68,45.01,370.1,2387.88,8.6353,368,28.67,17.1452,0
99,100,606.71,1471.11,1231.48,332.62,2323.66,43.93,313.12,2387.82,9.1943,362,24.37,14.6934,0
100,101,554.83,1356.69,1116.59,193.11,2222.77,41.52,181.89,2387.87,9.2879,332,14.88,8.8377,0
101,102,604.24,1492.13,1296.14,392.7,2318.65,45.22,370.12,2387.85,8.6173,368,28.55,17.1835,0
102,103,548.94,1335.99,1107.72,137.7,2211.89,41.69,129.37,2387.99,9.3933,326,10.42,6.2548,0
103,104,536.21,1258.4,1039.63,174.11,1915.23,36.22,163.74,2028.15,10.8588,305,14.26,8.5196,0
104,105,606.51,1472.96,1235.7,332.49,2323.68,44.06,312.93,2387.79,9.2152,365,24.46,14.6596,0
105,106,548.97,1340.68,1110.05,137.63,2211.94,41.71,129.39,2388.01,9.3588,329,10.61,6.2623,0
106,107,606.49,1478.4,1234.49,331.69,2323.63,44.11,313.2,2387.78,9.2212,362,24.46,14.7778,0
107,108,606.62,1478.24,1234.88,332.79,2323.7,44.06,312.96,2387.86,9.1771,362,24.31,14.7288,0
108,109,606.58,1474.17,1239.08,332.67,2323.62,43.81,313.03,2387.86,9.2058,361,24.18,14.6698,0
109,110,549.12,1345.36,1114.55,137.85,2211.98,41.59,130.19,2388.02,9.3322,327,10.49,6.3507,0
110,111,606.6,1473.08,1241.93,332.18,2323.66,44.08,313.03,2387.76,9.214,363,24.45,14.6245,0
111,112,606.01,1477.96,1237.06,332.45,2323.7,43.83,312.56,2387.84,9.2115,362,24.34,14.7241,0
112,113,641.75,1578.34,1396.64,552.11,2387.86,46.89,519.8,2387.9,8.4143,390,38.84,23.3733,0
113,114,548.93,1348.19,1114.3,137.82,2211.98,41.28,129.7,2388.03,9.3337,328,10.58,6.3551,0
114,115,549.04,1344.74,1111.3,137.28,2211.96,41.63,130.08,2388.0,9.3823,328,10.48,6.434,0
115,116,642.4,1584.85,1393.94,552.86,2387.97,47.0,521.17,2387.92,8.4156,391,39.07,23.3886,0
116,117,607.1,1472.62,1232.8,332.21,2323.66,43.89,312.85,2387.76,9.2252,363,24.39,14.7392,0
117,118,641.74,1577.5,1394.21,553.29,2387.96,47.08,520.01,2387.97,8.394,390,38.82,23.339,0
118,119,606.87,1473.31,1238.42,332.98,2323.74,43.88,313.01,2387.79,9.1786,363,24.49,14.6814,0
119,120,536.63,1257.06,1038.26,174.94,1915.26,36.43,164.19,2028.09,10.8866,304,14.27,8.5452,0
120,121,642.11,1587.07,1393.99,551.48,2387.89,47.15,520.47,2387.92,8.395,390,38.9,23.3839,0
121,122,555.68,1355.02,1116.45,192.81,2222.76,41.52,181.92,2387.85,9.2998,332,14.94,8.8532,0
122,123,548.84,1341.57,1114.4,137.41,2211.93,41.76,129.65,2388.01,9.3748,327,10.64,6.2495,0
123,124,549.89,1348.37,1110.2,137.2,2211.88,41.58,129.39,2388.01,9.3771,329,10.64,6.3304,0
124,125,641.72,1582.02,1396.82,552.05,2387.91,46.9,520.94,2387.87,8.3853,391,39.01,23.3841,0
125,126,548.64,1346.43,1108.08,137.82,2211.96,41.53,129.38,2387.94,9.3438,329,10.67,6.3889,0
126,127,603.81,1486.77,1297.16,392.99,2318.71,45.15,369.85,2387.88,8.6206,367,28.72,17.0026,0
127,128,554.98,1353.96,1113.97,193.19,2222.79,41.37,182.3,2387.86,9.2673,331,14.84,8.8881,0
128,129,549.1,1346.17,1114.01,138.6,2211.99,41.46,129.24,2388.0,9.3819,328,10.62,6.4258,0
129,130,604.32,1492.59,1298.77,393.73,2318.71,45.17,370.46,2387.84,8.6044,367,28.74,17.192,0
130,131,604.19,1491.68,1293.67,393.65,2318.69,45.11,370.07,2387.83,8.621,366,28.44,17.2281,0
131,132,549.02,1337.13,1105.63,137.46,2211.94,41.56,129.89,2388.0,9.3824,328,10.85,6.3015,0
132,133,548.76,1344.06,1118.57,137.29,2211.94,41.69,129.66,2388.05,9.3411,328,10.44,6.3171,0
133,134,548.84,1351.8,1113.75,137.81,2211.95,41.6,129.7,2388.06,9.3866,329,10.49,6.4252,0
134,135,642.18,1582.85,1387.23,552.55,2387.89,47.05,519.9,2387.97,8.4135,390,39.14,23.4198,0
135,136,549.08,1347.29,1110.84,137.5,2211.93,41.72,130.02,2388.06,9.3358,330,10.57,6.2806,0
136,137,549.21,1346.88,1102.8,137.85,2211.97,41.52,129.9,2388.04,9.3463,327,10.57,6.2869,0
137,138,606.83,1483.12,1242.57,332.2,2323.74,44.0,313.73,2387.84,9.1953,364,24.33,14.7665,0
138,139,641.82,1578.76,1397.63,553.17,2387.97,47.05,520.39,2387.92,8.3959,391,38.99,23.3314,0
139,140,549.2,1349.37,1117.62,137.11,2211.92,41.66,129.38,2388.04,9.3533,329,10.58,6.3418,0
140,141,607.34,1471.73,1234.55,332.51,2323.66,43.87,313.86,2387.87,9.2027,363,24.29,14.6239,0
141,142,603.76,1496.22,1297.09,393.21,2318.69,45.02,370.66,2387.85,8.6037,366,28.56,17.2137,0
142,143,549.28,1342.93,1108.62,137.46,2211.99,41.68,129.48,2388.04,9.3745,328,10.57,6.3035,0
143,144,548.93,1348.51,1121.08,137.42,2211.93,41.74,129.16,2388.05,9.3416,329,10.53,6.3079,0
144,145,607.18,1477.51,1244.35,333.22,2323.67,43.94,313.94,2387.86,9.1928,362,24.45,14.7038,0
145,146,604.81,1496.27,1300.8,393.96,2318.72,45.17,370.74,2387.91,8.5852,369,28.73,17.2176,0
146,147,548.58,1350.19,1113.77,137.99,2211.93,41.6,129.4,2388.03,9.3496,328,10.66,6.4172,0
147,148,641.57,1578.89,1389.89,552.79,2387.91,47.01,520.93,2387.99,8.3952,392,39.14,23.4342,0
148,149,548.64,1339.38,1116.27,138.27,2212.02,41.53,129.68,2388.08,9.3122,329,10.64,6.3002,0
149,150,641.65,1582.99,1392.67,553.88,2387.94,47.19,520.5,2387.91,8.3741,391,39.03,23.3535,0
150,151,554.48,1355.4,1119.1,192.98,2222.88,41.54,181.73,2387.98,9.3048,331,14.74,8.9767,0
151,152,548.34,1345.01,1114.8,137.84,2211.97,41.6,129.72,2388.02,9.3223,329,10.53,6.3282,1
152,153,603.84,1493.53,1296.44,393.84,2318.69,45.24,370.65,2387.88,8.6218,367,28.63,17.2188,1
153,154,548.65,1352.17,1119.62,138.06,2211.96,41.63,129.88,2388.04,9.3141,329,10.49,6.304,1
154,155,606.48,1478.08,1243.95,332.87,2323.71,43.93,313.44,2387.85,9.1933,363,24.55,14.6441,1
155,156,536.41,1252.14,1038.19,174.9,1915.27,36.5,163.9,2028.16,10.839,306,14.22,8.5901,1
156,157,641.63,1586.06,1399.9,552.99,2387.96,47.24,521.12,2387.94,8.3727,392,38.9,23.3336,1
157,158,549.1,1343.85,1115.92,138.35,2211.96,41.62,129.72,2388.1,9.3556,328,10.64,6.3721,1
158,159,606.73,1476.38,1235.52,332.46,2323.72,43.96,313.22,2387.85,9.173,362,24.41,14.7214,1
159,160,642.09,1581.5,1393.82,552.93,2387.95,47.17,521.69,2387.95,8.3756,391,38.97,23.3432,1
160,161,606.9,1467.53,1237.86,332.94,2323.73,44.19,313.14,2387.86,9.1804,362,24.6,14.7553,1
161,162,555.96,1364.2,1122.52,194.1,2222.88,41.53,182.02,2387.93,9.2958,332,15.05,8.926,1
162,163,604.23,1491.61,1305.27,394.25,2318.75,45.03,371.01,2387.97,8.612,367,28.64,17.1753,1
163,164,555.46,1350.0,1124.91,193.3,2222.9,41.49,182.16,2387.97,9.2852,333,14.92,8.912,1
164,165,604.38,1493.59,1295.19,393.97,2318.73,45.21,371.34,2387.96,8.5842,368,28.6,17.102,1
165,166,606.5,1470.19,1244.65,333.13,2323.71,44.0,313.51,2387.91,9.1918,362,24.45,14.6244,1
166,167,555.2,1358.71,1113.73,194.05,2222.88,41.62,182.28,2387.97,9.2989,333,14.87,8.9717,1
167,168,607.25,1476.95,1239.43,333.51,2323.77,44.02,312.73,2387.84,9.1911,361,24.53,14.5802,1
168,169,554.97,1354.09,1118.07,193.1,2222.88,41.45,182.2,2387.96,9.3033,332,14.74,8.8211,1
169,170,642.0,1589.98,1397.47,554.05,2387.96,47.29,521.31,2387.95,8.3519,391,39.15,23.3845,1
170,171,604.48,1496.06,1296.88,394.42,2318.73,44.93,371.89,2387.94,8.6121,368,28.58,17.1604,1
171,172,555.03,1357.75,1126.62,193.36,2222.88,41.62,182.47,2387.94,9.29,334,14.88,8.9056,1
172,173,536.65,1253.95,1038.36,175.25,1915.35,36.41,164.27,2028.19,10.8196,305,14.24,8.6124,1
173,174,549.02,1341.68,1126.48,137.51,2212.04,41.7,129.72,2388.08,9.3192,329,10.5,6.395,1
174,175,555.43,1355.05,1117.63,193.52,2222.89,41.52,182.44,2388.03,9.2687,332,14.91,8.8575,1
175,176,548.93,1346.29,1115.07,138.04,2212.0,41.75,130.56,2388.13,9.2889,330,10.75,6.3937,1
176,177,549.12,1347.24,1117.94,138.04,2212.08,41.71,130.17,2388.14,9.3203,329,10.52,6.2657,1
177,178,555.06,1359.48,1123.81,194.08,2223.0,41.59,182.64,2388.01,9.2778,333,15.05,8.9392,1
178,179,604.06,1497.45,1298.7,394.6,2318.73,45.15,371.66,2387.93,8.5701,368,28.75,17.2611,1
179,180,549.16,1348.86,1112.19,138.42,2212.03,41.86,130.28,2388.14,9.3001,328,10.78,6.387,1
180,181,536.81,1263.5,1036.54,175.61,1915.31,36.46,163.86,2028.27,10.812,307,14.34,8.6591,1
181,182,555.65,1362.11,1118.37,193.67,2222.94,41.86,183.15,2387.98,9.2648,332,14.97,8.8197,1
182,183,554.89,1357.98,1123.23,193.79,2222.85,41.5,182.65,2388.02,9.3013,333,14.75,8.8236,1
183,184,641.97,1590.06,1395.81,555.64,2388.0,47.05,523.72,2388.01,8.3832,393,39.26,23.4345,1
184,185,642.12,1580.38,1400.46,555.49,2388.05,47.23,523.25,2388.08,8.3309,392,38.89,23.4132,1
185,186,535.92,1256.71,1040.91,175.49,1915.34,36.53,164.54,2028.27,10.8406,306,14.33,8.5384,1
186,187,606.6,1477.22,1249.77,334.04,2323.86,43.98,314.9,2387.98,9.1551,364,24.49,14.8298,1
187,188,641.84,1590.4,1404.45,555.57,2387.97,47.4,523.55,2387.97,8.3638,393,38.99,23.3409,1
188,189,536.27,1262.98,1037.69,175.15,1915.39,36.4,163.8,2028.28,10.8407,305,14.29,8.6428,1
189,190,606.68,1479.28,1238.21,334.38,2323.87,44.22,314.15,2388.01,9.1939,364,24.52,14.8076,1
190,191,642.66,1587.39,1401.26,556.0,2388.09,47.33,523.47,2387.95,8.3614,393,39.02,23.5386,1
191,192,604.08,1499.52,1301.29,395.73,2318.84,45.13,372.58,2388.04,8.5958,368,28.88,17.3581,1
192,193,642.66,1587.68,1401.58,555.6,2388.05,47.34,523.67,2388.02,8.3326,392,39.19,23.4479,1
193,194,604.15,1491.25,1302.94,395.84,2318.92,45.18,372.18,2388.01,8.5669,368,28.67,17.1984,1
194,195,536.17,1257.65,1044.49,175.72,1915.29,36.48,164.68,2028.31,10.801,307,14.28,8.5692,1
195,196,642.15,1588.29,1402.29,556.35,2388.03,47.33,523.96,2388.05,8.3547,393,38.9,23.4271,1
196,197,536.39,1256.96,1039.53,176.4,1915.37,36.56,164.91,2028.37,10.7856,306,14.42,8.6455,1
197,198,607.22,1477.35,1242.38,335.14,2323.98,44.3,315.21,2388.05,9.1288,363,24.55,14.7406,1
198,199,604.58,1492.89,1307.97,396.45,2318.89,45.45,373.07,2388.06,8.5392,368,28.87,17.2806,1
199,200,536.53,1258.48,1042.15,175.44,1915.43,36.51,164.65,2028.31,10.7984,309,14.46,8.5847,1
200,201,549.34,1354.19,1120.91,138.63,2212.09,41.94,130.37,2388.21,9.2707,331,10.56,6.3671,1
201,202,549.36,1345.22,1123.39,139.28,2212.1,42.04,130.99,2388.25,9.2727,330,10.72,6.2499,2
202,203,642.52,1588.96,1403.88,556.92,2388.06,47.41,524.57,2388.07,8.3305,393,39.07,23.3536,2
203,204,549.06,1352.31,1125.32,138.86,2212.12,42.07,130.79,2388.28,9.2794,330,10.7,6.3954,2
204,205,536.79,1253.16,1049.54,175.89,1915.47,36.55,165.1,2028.36,10.8399,306,14.22,8.6792,2
205,206,554.7,1365.63,1130.13,195.45,2223.13,41.77,183.22,2388.23,9.2275,334,14.87,9.0137,2
206,207,604.43,1499.16,1305.22,396.39,2318.9,45.18,372.78,2388.11,8.5658,369,28.77,17.2054,2
207,208,549.47,1353.94,1126.57,139.1,2212.15,42.04,130.99,2388.28,9.2574,329,10.61,6.3942,2
208,209,607.03,1474.2,1246.17,336.63,2324.03,44.34,316.63,2388.18,9.098,365,24.68,14.7821,2
209,210,536.8,1264.99,1049.34,175.18,1915.53,36.59,165.49,2028.34,10.7946,306,14.38,8.6049,2
210,211,607.01,1483.08,1248.86,335.77,2324.0,44.39,316.43,2388.11,9.1094,364,24.64,14.6993,2
211,212,536.75,1259.52,1040.97,175.75,1915.49,36.59,165.71,2028.43,10.7983,307,14.22,8.5448,2
212,213,536.74,1260.54,1048.27,175.68,1915.59,36.8,165.12,2028.4,10.7959,307,14.45,8.6023,2
213,214,607.17,1484.49,1254.78,336.3,2324.0,44.1,316.93,2388.21,9.1127,365,24.55,14.7273,2
214,215,642.65,1591.75,1407.74,558.28,2388.17,47.21,526.66,2388.16,8.3097,392,39.32,23.3938,2
215,216,607.22,1479.11,1243.48,336.97,2324.13,44.48,316.72,2388.19,9.1249,366,24.67,14.6939,2
216,217,549.13,1350.0,1116.87,139.24,2212.18,42.02,131.48,2388.26,9.22,332,10.62,6.354,2
217,218,536.46,1258.0,1042.77,176.09,1915.58,36.84,165.9,2028.44,10.7528,306,14.3,8.595,2
218,219,536.61,1259.48,1045.23,175.95,1915.56,36.59,165.42,2028.42,10.7582,308,14.42,8.6108,2
219,220,549.27,1344.96,1123.48,138.97,2212.21,42.38,131.54,2388.29,9.2336,332,10.53,6.3662,2
220,221,604.68,1508.06,1309.32,399.0,2319.06,45.36,374.82,2388.23,8.5121,371,28.79,17.4054,2
221,222,549.29,1350.2,1125.82,140.02,2212.25,42.32,131.31,2388.26,9.2262,330,10.67,6.4377,2
222,223,606.89,1483.67,1253.47,337.66,2324.21,44.36,317.6,2388.33,9.0773,366,24.77,14.8542,2
223,224,555.63,1363.27,1131.91,196.58,2223.29,41.97,184.99,2388.36,9.1698,334,14.99,8.9818,2
224,225,536.64,1257.31,1049.13,176.69,1915.6,36.63,166.01,2028.54,10.7549,307,14.39,8.5845,2
225,226,642.33,1592.22,1406.67,560.83,2388.24,47.55,528.34,2388.22,8.2953,394,39.46,23.5819,2
226,227,555.47,1369.11,1133.25,196.41,2223.26,42.25,184.88,2388.44,9.1952,335,14.9,8.9485,2
227,228,549.45,1352.89,1129.7,139.77,2212.32,42.23,131.55,2388.4,9.2161,332,10.65,6.5274,2
228,229,549.45,1356.32,1129.66,139.87,2212.31,42.1,131.49,2388.45,9.2439,331,10.54,6.3622,2
229,230,537.66,1264.31,1046.41,176.56,1915.66,36.87,166.19,2028.53,10.7615,308,14.41,8.6329,2
230,1,536.84,1264.01,1035.72,176.35,1915.39,36.6,165.16,2028.31,10.8906,307,14.31,8.4892,0
231,2,536.72,1259.85,1046.62,176.05,1915.37,36.56,165.06,2028.28,10.8786,306,14.23,8.6502,0
232,3,607.63,1477.47,1244.86,335.79,2323.97,44.36,315.17,2388.1,9.1932,364,24.51,14.715,0
233,4,604.44,1495.32,1292.93,394.73,2318.79,45.31,372.23,2388.08,8.6541,369,28.6,17.076,0
234,5,607.21,1483.14,1256.14,334.61,2323.94,44.06,315.03,2388.05,9.1675,364,24.36,14.6429,0
235,6,606.83,1481.33,1246.43,335.26,2323.94,44.18,314.83,2388.03,9.1704,363,24.66,14.6979,0
236,7,536.83,1255.66,1037.37,175.49,1915.34,36.71,165.44,2028.25,10.858,305,14.34,8.4524,0
237,8,642.66,1597.87,1407.67,554.1,2388.01,47.29,522.01,2388.01,8.384,391,39.02,23.341,0
