,Cycle,SensorMeasure2,SensorMeasure3,SensorMeasure4,SensorMeasure7,SensorMeasure8,SensorMeasure11,SensorMeasure12,SensorMeasure13,SensorMeasure15,SensorMeasure17,SensorMeasure20,SensorMeasure21,LR
24,25,641.93,1586.82,1406.62,553.81,2387.99,47.31,522.08,2388.04,8.3952,391,38.85,23.3842,0.09652509652509653
25,26,642.37,1585.26,1398.77,554.79,2387.98,47.28,522.06,2388.02,8.3937,392,38.93,23.3681,0.10038610038610038
26,27,642.12,1582.77,1400.16,554.18,2387.98,47.33,522.08,2388.03,8.4132,390,39.06,23.3763,0.10424710424710425
27,28,643.01,1578.4,1400.24,554.66,2387.99,47.17,522.19,2388.04,8.4243,391,39.02,23.4666,0.10810810810810811
28,29,642.04,1587.5,1393.05,554.1,2387.97,47.22,521.81,2388.01,8.4001,393,39.04,23.4538,0.11196911196911197
29,30,642.53,1586.99,1396.67,554.78,2388.03,47.34,522.45,2387.97,8.4513,392,39.12,23.4103,0.11583011583011583
30,31,642.32,1586.13,1397.47,553.71,2387.95,47.24,522.35,2388.01,8.3766,390,39.2,23.4302,0.11969111969111969
31,32,642.11,1587.7,1392.44,555.28,2388.03,47.17,522.72,2387.96,8.4155,391,39.02,23.3631,0.12355212355212356
32,33,642.49,1579.54,1399.94,554.2,2388.0,47.27,521.95,2388.0,8.4126,392,39.16,23.4065,0.1274131274131274
33,34,642.21,1586.42,1403.41,554.28,2387.96,47.47,522.03,2388.02,8.4218,391,39.02,23.4787,0.13127413127413126
34,35,641.8,1590.74,1396.33,553.75,2388.03,47.55,522.09,2388.02,8.4268,392,38.9,23.2894,0.13513513513513514
35,36,642.45,1581.86,1395.89,554.85,2388.02,47.32,522.22,2388.03,8.4141,393,38.91,23.5297,0.138996138996139
36,37,642.06,1588.99,1396.98,554.82,2387.95,47.33,522.58,2388.02,8.3305,393,39.03,23.4539,0.14285714285714285
37,38,642.49,1588.71,1401.57,555.03,2388.01,47.3,522.62,2387.98,8.3718,392,38.83,23.4252,0.14671814671814673
38,39,641.6,1578.79,1400.48,554.31,2388.02,47.19,522.26,2387.99,8.4005,392,38.91,23.3543,0.15057915057915058
39,40,642.22,1583.9,1395.26,554.51,2387.96,47.24,522.47,2388.02,8.3948,394,38.94,23.4083,0.15444015444015444
40,41,641.96,1582.54,1400.72,554.61,2387.97,47.32,522.45,2387.97,8.3559,392,39.07,23.3239,0.1583011583011583
41,42,642.06,1584.71,1403.21,554.31,2388.0,47.26,522.2,2387.97,8.4148,392,38.86,23.4382,0.16216216216216217
42,43,642.71,1581.49,1399.38,553.96,2387.96,47.1,522.42,2387.98,8.4327,392,39.14,23.4357,0.16602316602316602
43,44,642.69,1585.54,1407.66,552.85,2387.99,47.26,522.78,2387.94,8.4334,389,39.17,23.3515,0.16988416988416988
44,45,642.56,1584.23,1407.95,554.23,2387.96,47.17,522.56,2387.98,8.4343,391,39.01,23.3131,0.17374517374517376
45,46,642.02,1582.9,1400.5,554.61,2388.06,47.21,522.04,2388.04,8.4268,392,38.88,23.5009,0.1776061776061776
46,47,642.6,1592.1,1398.26,554.11,2388.01,47.28,522.03,2387.97,8.3755,392,39.14,23.269,0.18146718146718147
47,48,642.44,1583.27,1399.17,554.16,2388.02,47.27,522.29,2388.04,8.3998,394,39.02,23.3188,0.18532818532818532
48,49,642.37,1586.75,1393.83,553.91,2388.04,47.28,521.94,2388.01,8.3804,390,38.92,23.3822,0.1891891891891892
49,50,642.41,1590.26,1398.51,554.27,2387.98,47.08,522.01,2388.04,8.4073,392,38.97,23.3748,0.19305019305019305
50,51,642.2,1587.71,1390.26,554.71,2387.99,47.21,522.4,2387.98,8.3567,391,38.9,23.4784,0.1969111969111969
51,52,642.61,1583.3,1403.78,554.09,2387.97,47.24,521.69,2387.93,8.3914,391,38.97,23.3179,0.20077220077220076
52,53,642.45,1583.03,1400.06,553.12,2388.03,47.34,522.4,2388.04,8.411,391,38.91,23.439,0.20463320463320464
53,54,642.48,1584.68,1406.3,554.8,2388.03,47.22,522.28,2388.04,8.4074,392,38.99,23.4086,0.2084942084942085
54,55,642.25,1587.23,1401.26,554.56,2388.01,47.12,522.42,2388.02,8.4106,391,38.93,23.4395,0.21235521235521235
55,56,642.79,1585.25,1396.05,554.24,2388.01,47.07,522.67,2388.03,8.4308,394,38.96,23.4014,0.21621621621621623
56,57,642.47,1586.13,1396.03,554.29,2387.97,47.11,522.14,2387.99,8.3816,391,39.0,23.4644,0.22007722007722008
57,58,641.98,1587.55,1402.61,553.84,2387.98,47.17,521.89,2388.05,8.4089,393,39.2,23.353,0.22393822393822393
58,59,642.01,1589.14,1405.41,554.48,2387.96,47.24,522.84,2388.01,8.4339,393,38.98,23.4888,0.2277992277992278
59,60,642.52,1578.91,1406.32,554.16,2388.03,47.31,522.32,2387.98,8.3837,392,38.99,23.3179,0.23166023166023167
60,61,641.97,1584.13,1400.11,554.09,2388.01,47.23,522.28,2387.98,8.3578,391,39.19,23.4228,0.23552123552123552
61,62,642.47,1593.91,1397.99,554.15,2388.04,47.25,522.33,2388.02,8.4285,390,38.91,23.3841,0.23938223938223938
62,63,641.82,1583.91,1403.75,554.73,2388.01,47.32,522.76,2388.04,8.3982,391,38.98,23.4328,0.24324324324324326
63,64,642.49,1589.38,1399.53,554.89,2388.0,47.34,522.81,2387.98,8.4168,391,38.92,23.3717,0.2471042471042471
64,65,642.15,1589.05,1391.23,554.01,2387.96,47.31,522.59,2387.97,8.398,391,39.07,23.4992,0.25096525096525096
65,66,642.16,1586.02,1397.9,554.5,2387.97,47.36,521.68,2387.99,8.4487,391,39.03,23.2868,0.2548262548262548
66,67,642.01,1585.57,1399.69,554.3,2388.03,47.36,521.77,2388.03,8.4355,391,38.79,23.2883,0.25868725868725867
67,68,642.07,1580.92,1401.99,554.2,2388.04,47.35,521.81,2387.95,8.4185,391,38.97,23.4363,0.2625482625482625
68,69,642.88,1589.68,1399.78,553.99,2388.05,47.11,522.55,2388.05,8.4486,392,39.07,23.3217,0.26640926640926643
69,70,642.34,1591.65,1401.42,554.43,2388.02,47.26,522.22,2388.05,8.4294,393,39.14,23.3813,0.2702702702702703
70,71,642.58,1583.72,1397.76,553.97,2388.03,47.19,522.21,2387.98,8.4168,391,39.13,23.4798,0.27413127413127414
71,72,641.91,1582.17,1402.51,554.38,2388.02,47.26,522.23,2388.06,8.4528,392,39.04,23.3875,0.277992277992278
72,73,642.02,1586.87,1397.72,554.42,2388.04,47.34,522.23,2388.03,8.4825,393,39.05,23.3951,0.28185328185328185
73,74,641.86,1583.99,1399.91,554.14,2388.01,47.22,522.22,2388.01,8.428,393,39.02,23.3814,0.2857142857142857
74,75,642.22,1587.16,1396.3,553.64,2388.0,47.19,522.32,2387.98,8.3836,393,39.02,23.4318,0.28957528957528955
75,76,642.85,1586.17,1400.01,554.37,2387.98,47.15,522.64,2388.02,8.4061,392,38.77,23.3529,0.29343629343629346
76,77,642.02,1581.99,1399.58,554.14,2388.0,47.29,521.91,2388.08,8.3727,391,38.96,23.3415,0.2972972972972973
77,78,642.86,1578.35,1400.19,554.23,2388.01,47.22,522.15,2388.09,8.4288,391,38.88,23.4148,0.30115830115830117
78,79,642.03,1583.5,1400.42,553.98,2388.02,47.08,522.01,2388.03,8.3895,391,38.99,23.4047,0.305019305019305
79,80,641.53,1586.62,1393.1,554.63,2388.01,47.22,521.93,2387.98,8.408,393,38.85,23.458,0.3088803088803089
80,81,642.13,1581.98,1402.49,553.72,2388.02,47.02,522.32,2388.06,8.4433,394,38.94,23.4212,0.3127413127413127
81,82,642.55,1587.08,1402.42,554.5,2388.02,47.19,522.19,2388.05,8.4196,393,39.12,23.3853,0.3166023166023166
82,83,641.85,1587.23,1401.86,555.2,2388.01,47.25,521.93,2388.04,8.3843,393,39.0,23.3097,0.3204633204633205
83,84,641.94,1585.55,1398.99,554.75,2388.03,47.27,521.97,2388.07,8.3854,390,38.98,23.3584,0.32432432432432434
84,85,642.57,1587.23,1399.21,553.87,2388.02,47.43,522.11,2388.04,8.4385,395,38.96,23.4284,0.3281853281853282
85,86,642.07,1590.38,1403.18,554.77,2388.02,47.34,522.02,2387.96,8.4299,393,38.88,23.4409,0.33204633204633205
86,87,642.27,1584.76,1399.41,553.7,2388.05,47.46,521.75,2388.05,8.4388,392,39.02,23.4712,0.3359073359073359
87,88,641.46,1587.88,1396.91,553.85,2387.99,47.23,522.05,2388.01,8.4211,392,39.08,23.3099,0.33976833976833976
88,89,642.67,1593.73,1406.77,555.48,2388.06,47.18,522.79,2388.02,8.4099,392,38.88,23.4671,0.3436293436293436
89,90,642.33,1581.98,1398.82,554.22,2388.03,47.34,522.08,2387.99,8.3848,392,39.03,23.3154,0.3474903474903475
90,91,642.58,1592.53,1406.11,554.64,2388.02,47.37,522.34,2388.05,8.3901,394,38.92,23.3784,0.35135135135135137
91,92,641.88,1587.25,1398.36,553.74,2388.0,47.32,522.04,2387.98,8.3986,393,38.92,23.3472,0.3552123552123552
92,93,642.59,1581.57,1403.57,554.65,2388.05,47.43,522.15,2388.0,8.3652,392,38.95,23.3151,0.3590733590733591
93,94,642.7,1585.22,1394.97,554.19,2387.97,47.09,522.4,2388.02,8.3962,392,38.9,23.247,0.36293436293436293
94,95,642.8,1577.32,1406.0,554.29,2388.02,47.31,522.18,2388.02,8.4321,392,38.93,23.3817,0.3667953667953668
95,96,642.12,1587.08,1398.42,553.97,2388.04,47.36,522.14,2388.05,8.4205,393,38.78,23.4411,0.37065637065637064
96,97,642.22,1584.55,1388.13,554.57,2388.07,47.45,522.43,2388.05,8.4114,392,38.85,23.363,0.3745173745173745
97,98,642.17,1583.35,1402.22,553.88,2388.1,47.34,522.14,2388.02,8.4121,393,39.08,23.4234,0.3783783783783784
98,99,642.83,1584.77,1402.31,554.0,2388.04,47.22,522.13,2388.08,8.4409,393,38.93,23.3767,0.38223938223938225
99,100,642.11,1582.26,1402.79,553.71,2388.01,47.52,521.92,2387.99,8.4052,392,39.09,23.382,0.3861003861003861
100,101,642.62,1586.4,1400.24,554.66,2388.01,47.21,522.16,2388.01,8.4032,391,38.89,23.4552,0.38996138996138996
101,102,642.22,1588.28,1397.95,554.91,2387.99,47.25,522.27,2388.04,8.4182,392,38.94,23.3971,0.3938223938223938
102,103,642.34,1591.43,1406.51,553.81,2388.05,47.33,522.1,2388.04,8.4188,391,38.81,23.3743,0.39768339768339767
103,104,643.15,1586.31,1411.1,554.11,2388.04,47.26,522.14,2388.05,8.4575,393,38.88,23.3193,0.4015444015444015
104,105,642.55,1587.12,1395.09,554.26,2388.01,47.38,522.1,2388.09,8.3883,391,38.97,23.3032,0.40540540540540543
105,106,641.93,1590.93,1401.75,553.8,2388.05,47.28,521.92,2388.02,8.4153,394,38.93,23.3787,0.4092664092664093
106,107,642.38,1588.34,1399.31,554.27,2388.08,47.22,521.95,2388.03,8.4068,393,38.9,23.28,0.41312741312741313
107,108,642.56,1590.93,1405.54,554.16,2388.02,47.14,521.95,2388.0,8.4414,392,39.08,23.2983,0.416988416988417
108,109,642.37,1585.91,1397.9,554.55,2388.05,47.25,522.39,2387.99,8.4594,392,39.01,23.3321,0.42084942084942084
109,110,642.12,1591.36,1400.32,553.78,2387.99,47.32,521.86,2388.04,8.434,393,39.04,23.3809,0.4247104247104247
110,111,642.06,1587.4,1404.63,554.03,2387.98,47.19,522.25,2388.01,8.4093,392,38.93,23.3339,0.42857142857142855
111,112,641.88,1589.21,1401.82,553.84,2388.08,47.15,522.62,2388.02,8.4442,393,38.97,23.4569,0.43243243243243246
112,113,642.44,1590.94,1395.41,553.42,2388.04,47.4,522.12,2388.06,8.4016,392,38.87,23.3987,0.4362934362934363
113,114,642.79,1585.1,1395.27,554.29,2388.06,47.25,521.97,2388.0,8.387,393,39.13,23.2932,0.44015444015444016
114,115,642.25,1580.37,1398.26,554.09,2388.02,47.39,521.25,2388.07,8.3845,393,38.95,23.3343,0.444015444015444
115,116,642.39,1581.54,1398.96,554.13,2387.98,47.39,522.16,2388.02,8.4266,393,38.98,23.3836,0.44787644787644787
116,117,642.77,1581.85,1407.21,553.83,2388.05,47.26,521.47,2388.04,8.4409,391,39.2,23.3679,0.4517374517374517
117,118,642.38,1590.7,1407.58,554.57,2388.05,47.12,521.79,2388.07,8.4276,392,39.1,23.2054,0.4555984555984556
118,119,641.92,1583.7,1398.14,554.05,2388.03,47.38,521.82,2388.02,8.4109,391,38.8,23.3515,0.4594594594594595
119,120,642.02,1581.83,1400.56,553.81,2388.06,47.32,522.88,2388.03,8.4025,393,38.99,23.385,0.46332046332046334
120,121,642.0,1592.55,1403.78,554.57,2388.03,47.46,522.08,2388.09,8.4357,392,38.91,23.4777,0.4671814671814672
121,122,642.68,1583.31,1399.1,554.54,2388.04,47.35,521.76,2388.04,8.4101,392,39.02,23.2968,0.47104247104247104
122,123,642.72,1578.55,1405.78,554.1,2388.05,47.29,522.51,2388.06,8.4197,392,38.91,23.3678,0.4749034749034749
123,124,642.17,1583.66,1406.43,554.0,2388.07,47.3,521.94,2387.98,8.4481,393,38.93,23.3135,0.47876447876447875
124,125,642.19,1583.56,1399.43,553.71,2387.99,47.21,522.01,2388.08,8.4342,393,38.97,23.3991,0.4826254826254826
125,126,642.26,1595.19,1404.39,553.84,2388.05,47.1,521.93,2388.07,8.4001,391,39.0,23.4191,0.4864864864864865
126,127,641.81,1582.25,1395.27,554.69,2388.0,47.17,522.35,2388.0,8.4375,392,38.7,23.457,0.49034749034749037
127,128,642.35,1591.2,1411.85,553.28,2388.08,47.34,521.8,2388.05,8.434,393,39.07,23.3822,0.4942084942084942
128,129,641.84,1582.27,1404.35,553.78,2388.06,47.37,522.36,2388.0,8.3959,392,38.81,23.4251,0.4980694980694981
129,130,641.77,1581.08,1397.31,553.87,2388.07,47.33,521.88,2388.01,8.422,393,38.94,23.4846,0.5019305019305019
130,131,642.25,1589.4,1405.04,554.12,2388.05,47.36,522.23,2388.04,8.4194,392,38.95,23.403,0.5057915057915058
131,132,642.97,1585.96,1401.33,553.52,2388.08,47.33,521.43,2388.06,8.4365,392,38.88,23.3906,0.5096525096525096
132,133,642.46,1590.51,1399.09,554.34,2388.01,47.45,521.61,2388.03,8.4134,393,39.07,23.3643,0.5135135135135135
133,134,642.05,1589.92,1411.38,554.25,2388.02,47.31,521.52,2388.03,8.418,392,38.94,23.3354,0.5173745173745173
134,135,642.95,1588.93,1403.46,553.6,2388.02,47.37,522.05,2388.03,8.4089,392,38.92,23.4502,0.5212355212355212
135,136,642.57,1594.07,1393.69,553.77,2388.03,47.15,522.27,2388.03,8.4489,392,38.99,23.3221,0.525096525096525
136,137,642.62,1587.92,1402.91,554.15,2388.07,47.45,521.49,2388.05,8.4177,392,38.83,23.4102,0.528957528957529
137,138,642.22,1579.91,1402.44,553.87,2388.04,47.38,521.82,2387.98,8.4244,393,39.0,23.3819,0.5328185328185329
138,139,642.71,1583.7,1405.36,554.23,2388.07,47.5,521.87,2388.03,8.4589,394,38.91,23.4228,0.5366795366795367
139,140,642.37,1586.7,1408.26,553.84,2388.05,47.4,521.95,2388.01,8.4018,393,38.97,23.345,0.5405405405405406
140,141,642.54,1588.67,1397.95,553.58,2388.07,47.46,521.23,2388.1,8.4207,393,38.83,23.2708,0.5444015444015444
141,142,642.48,1581.89,1402.66,553.29,2388.02,47.35,521.72,2388.1,8.4269,393,38.91,23.3837,0.5482625482625483
142,143,642.5,1590.96,1407.99,554.04,2388.06,47.28,521.81,2388.01,8.3876,394,38.99,23.311,0.5521235521235521
143,144,642.01,1588.74,1406.16,553.22,2388.09,47.62,521.69,2388.01,8.4126,393,38.82,23.3992,0.555984555984556
144,145,643.07,1583.36,1408.15,553.56,2388.0,47.51,521.39,2387.99,8.4365,394,38.81,23.3765,0.5598455598455598
145,146,642.43,1582.73,1410.11,553.44,2388.09,47.41,521.12,2388.11,8.4453,391,39.05,23.3544,0.5637065637065637
146,147,643.09,1597.53,1402.72,554.06,2388.04,47.32,521.91,2388.01,8.4449,393,39.04,23.2939,0.5675675675675675
147,148,642.43,1583.8,1401.2,554.34,2388.05,47.45,521.69,2388.04,8.4132,393,39.02,23.4205,0.5714285714285714
148,149,642.74,1585.97,1405.27,554.24,2388.04,47.25,521.87,2388.02,8.4446,394,38.7,23.3524,0.5752895752895753
149,150,642.27,1589.89,1409.08,554.29,2388.04,47.28,521.53,2388.05,8.3973,393,38.79,23.3416,0.5791505791505791
150,151,642.36,1596.85,1404.4,553.56,2388.09,47.4,522.18,2388.05,8.434,392,38.77,23.3903,0.583011583011583
151,152,642.48,1586.24,1403.1,553.81,2388.09,47.33,521.63,2388.05,8.4372,392,38.7,23.2683,0.5868725868725869
152,153,642.81,1587.78,1403.82,553.38,2388.04,47.75,522.2,2388.0,8.4499,393,38.89,23.2798,0.5907335907335908
153,154,642.42,1593.24,1398.66,553.39,2388.12,47.34,522.04,2388.07,8.4247,392,38.89,23.3212,0.5945945945945946
154,155,643.09,1585.47,1408.35,553.22,2388.03,47.48,522.52,2388.04,8.4498,395,39.13,23.3064,0.5984555984555985
155,156,642.55,1591.67,1411.96,553.5,2388.03,47.46,521.82,2388.02,8.421,392,38.88,23.3377,0.6023166023166023
156,157,642.57,1587.47,1406.08,553.02,2388.02,47.45,521.68,2388.05,8.454,394,38.87,23.3894,0.6061776061776062
157,158,641.98,1595.03,1406.49,553.76,2388.05,47.32,521.85,2388.09,8.4221,393,38.84,23.339,0.61003861003861
158,159,642.64,1592.32,1410.8,553.4,2388.04,47.49,521.43,2388.04,8.4385,393,38.71,23.2224,0.6138996138996139
159,160,642.36,1594.79,1414.46,553.55,2388.07,47.52,521.18,2388.03,8.4187,393,38.86,23.2988,0.6177606177606177
160,161,642.4,1587.14,1406.38,553.98,2388.08,47.45,521.55,2388.04,8.4228,393,38.87,23.3033,0.6216216216216216
161,162,642.68,1587.65,1405.36,553.11,2388.08,47.44,521.85,2388.08,8.4272,394,38.98,23.2133,0.6254826254826255
162,163,642.68,1590.42,1409.85,553.45,2388.14,47.38,521.34,2388.09,8.435,393,38.88,23.3244,0.6293436293436293
163,164,642.64,1584.91,1409.31,552.9,2388.14,47.54,521.59,2388.09,8.4056,393,38.84,23.2943,0.6332046332046332
164,165,642.17,1586.09,1404.79,554.02,2388.06,47.3,521.49,2388.03,8.4598,393,38.87,23.2956,0.637065637065637
165,166,642.41,1594.39,1409.85,553.68,2388.04,47.52,521.73,2388.0,8.4253,392,38.79,23.3268,0.640926640926641
166,167,642.68,1586.71,1419.8,553.74,2388.11,47.48,521.57,2388.12,8.4042,393,38.88,23.344,0.6447876447876448
167,168,642.34,1586.61,1405.22,553.39,2388.03,47.33,521.76,2388.06,8.4345,392,38.85,23.3451,0.6486486486486487
168,169,642.6,1593.15,1411.62,553.97,2388.08,47.71,521.72,2388.13,8.4199,392,38.77,23.3187,0.6525096525096525
169,170,642.6,1594.35,1407.91,553.78,2388.09,47.4,521.7,2388.07,8.4193,394,38.91,23.3639,0.6563706563706564
170,171,642.41,1587.93,1402.66,553.84,2388.09,47.52,521.33,2388.02,8.4321,394,38.76,23.2861,0.6602316602316602
171,172,642.59,1597.51,1412.58,553.02,2388.07,47.5,521.41,2388.05,8.4624,392,38.81,23.2399,0.6640926640926641
172,173,642.38,1596.02,1403.04,553.14,2388.07,47.51,522.32,2388.04,8.4249,393,38.67,23.3147,0.667953667953668
173,174,642.16,1597.85,1405.84,553.59,2388.13,47.65,521.84,2388.04,8.4501,394,38.74,23.2819,0.6718146718146718
174,175,642.52,1581.68,1406.86,553.02,2388.06,47.63,521.9,2388.1,8.446,391,38.87,23.2947,0.6756756756756757
175,176,641.97,1587.37,1409.46,553.26,2388.12,47.4,521.57,2388.08,8.4514,391,38.9,23.2322,0.6795366795366795
176,177,642.49,1599.09,1404.38,552.7,2388.07,47.35,520.98,2388.08,8.4054,393,38.89,23.3296,0.6833976833976834
177,178,643.04,1588.24,1401.65,553.11,2388.07,47.42,521.15,2388.02,8.4229,394,38.78,23.2484,0.6872586872586872
178,179,642.97,1583.04,1407.17,552.77,2388.1,47.66,521.27,2388.1,8.463,395,38.92,23.1559,0.6911196911196911
179,180,643.07,1587.34,1406.28,553.71,2388.11,47.51,521.33,2388.08,8.4065,394,39.09,23.1683,0.694980694980695
180,181,642.31,1591.29,1399.5,553.5,2388.12,47.67,521.53,2388.12,8.4163,393,38.83,23.2364,0.6988416988416989
181,182,642.37,1593.2,1414.3,553.46,2388.1,47.52,521.3,2388.09,8.4337,394,38.66,23.2449,0.7027027027027027
182,183,641.84,1588.43,1412.8,553.63,2388.05,47.53,521.61,2388.1,8.4299,392,38.73,23.3216,0.7065637065637066
183,184,642.5,1590.76,1409.58,553.41,2388.09,47.44,522.12,2388.1,8.4555,393,38.87,23.3773,0.7104247104247104
184,185,642.72,1584.57,1397.71,553.72,2388.09,47.79,520.96,2388.06,8.4504,392,38.88,23.3945,0.7142857142857143
185,186,642.45,1590.89,1410.57,552.83,2388.07,47.74,521.22,2388.06,8.469,393,38.88,23.2694,0.7181467181467182
186,187,643.16,1591.08,1409.22,553.08,2388.08,47.56,521.67,2388.1,8.4452,394,38.77,23.2041,0.722007722007722
187,188,643.48,1588.55,1410.73,553.02,2388.1,47.64,521.36,2388.11,8.451,393,38.8,23.3575,0.7258687258687259
188,189,642.26,1592.56,1401.97,553.32,2388.08,47.7,521.6,2388.08,8.4574,394,38.59,23.3812,0.7297297297297297
189,190,643.11,1590.18,1405.06,553.25,2388.09,47.55,521.66,2388.07,8.4719,393,38.59,23.3774,0.7335907335907336
190,191,642.47,1581.9,1414.49,553.19,2388.12,47.56,521.83,2388.14,8.4651,392,38.65,23.2453,0.7374517374517374
191,192,642.53,1593.75,1411.18,553.65,2388.1,47.72,521.36,2388.09,8.4359,393,38.72,23.2512,0.7413127413127413
192,193,642.71,1590.06,1418.82,553.24,2388.07,47.73,521.73,2388.11,8.4393,394,38.93,23.2572,0.7451737451737451
193,194,642.38,1587.37,1405.45,552.87,2388.05,47.65,521.1,2388.06,8.435,394,38.62,23.2115,0.749034749034749
194,195,643.02,1591.26,1418.18,553.31,2388.13,47.44,521.4,2388.11,8.4705,394,38.63,23.2445,0.752895752895753
195,196,642.58,1591.47,1408.16,552.9,2388.08,47.64,521.42,2388.08,8.4741,393,38.86,23.2751,0.7567567567567568
196,197,642.77,1591.11,1410.21,552.78,2388.13,47.8,521.82,2388.04,8.4164,393,38.82,23.2987,0.7606177606177607
197,198,642.52,1589.14,1410.7,552.94,2388.09,47.45,520.83,2388.16,8.4579,395,38.73,23.2421,0.7644787644787645
198,199,642.26,1598.09,1419.18,552.86,2388.07,47.79,520.8,2388.11,8.4328,395,38.9,23.3191,0.7683397683397684
199,200,642.92,1595.46,1414.78,553.46,2388.11,47.56,521.16,2388.11,8.4265,394,38.91,23.3581,0.7722007722007722
200,201,642.47,1591.02,1409.76,552.85,2388.11,47.63,521.51,2388.08,8.4533,394,38.77,23.193,0.7760617760617761
201,202,642.58,1595.01,1411.84,552.84,2388.09,47.67,521.12,2388.13,8.4601,394,38.7,23.2392,0.7799227799227799
202,203,642.66,1596.82,1419.02,552.15,2388.09,47.63,520.46,2388.11,8.4426,393,38.91,23.2576,0.7837837837837838
203,204,643.02,1594.44,1414.04,552.98,2388.13,47.51,520.96,2388.1,8.4541,395,38.52,23.3022,0.7876447876447876
204,205,643.04,1602.53,1414.02,552.55,2388.11,47.52,521.23,2388.08,8.4402,394,38.53,23.267,0.7915057915057915
205,206,643.1,1593.55,1409.19,553.11,2388.14,47.69,520.51,2388.14,8.4413,393,38.91,23.192,0.7953667953667953
206,207,643.16,1594.88,1414.03,552.06,2388.1,47.82,520.7,2388.13,8.4689,396,38.76,23.2329,0.7992277992277992
207,208,642.89,1587.78,1417.01,552.51,2388.13,47.74,520.97,2388.13,8.4518,393,38.7,23.2955,0.803088803088803
208,209,643.23,1599.57,1415.25,553.02,2388.13,47.58,521.23,2388.11,8.4316,393,38.84,23.2993,0.806949806949807
209,210,642.7,1597.98,1407.91,552.95,2388.14,47.61,520.37,2388.15,8.4702,395,38.77,23.277,0.8108108108108109
210,211,642.45,1593.28,1413.75,553.01,2388.12,47.71,521.41,2388.14,8.4516,394,38.57,23.2188,0.8146718146718147
211,212,642.95,1595.89,1421.28,553.3,2388.12,47.63,521.06,2388.16,8.4497,394,38.59,23.2353,0.8185328185328186
